id;title;provincie;dna;CU,
id;title;provincie;dna;2012-0,
000365;Graft-De Rijp;Noord-Holland;375473;0.4,
000370;Beemster;Noord-Holland;485474;0.5,
000373;Bergen (NH.);Noord-Holland;489465;0.7,
000375;Beverwijk;Noord-Holland;954838;0.9,
000376;Blaricum;Noord-Holland;598666;1.1,
000377;Bloemendaal;Noord-Holland;597578;1,
000381;Bussum;Noord-Holland;995759;1.5,
000383;Castricum;Noord-Holland;686465;0.7,
000384;Diemen;Noord-Holland;963947;1.2,
000385;Edam-Volendam;Noord-Holland;763476;0.5,
000388;Enkhuizen;Noord-Holland;645545;2.2,
000392;Haarlem;Noord-Holland;974949;1.4,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;1.1,
000394;Haarlemmermeer;Noord-Holland;782866;2.1,
000395;Harenkarspel;Noord-Holland;353473;0.8,
000396;Heemskerk;Noord-Holland;965737;1.3,
000397;Heemstede;Noord-Holland;797568;1.1,
000398;Heerhugowaard;Noord-Holland;753756;1.8,
000399;Heiloo;Noord-Holland;697566;1.1,
000400;Den Helder;Noord-Holland;846716;3.4,
000402;Hilversum;Noord-Holland;985849;2.4,
000405;Hoorn;Noord-Holland;753847;1.1,
000406;Huizen;Noord-Holland;885757;5.4,
000415;Landsmeer;Noord-Holland;596566;0.7,
000416;Langedijk;Noord-Holland;564465;2.7,
000417;Laren;Noord-Holland;599577;0.5,
000420;Medemblik;Noord-Holland;354464;2.3,
000424;Muiden;Noord-Holland;396552;0.7,
000425;Naarden;Noord-Holland;695678;1.2,
000431;Oostzaan;Noord-Holland;585576;1.5,
000432;Opmeer;Noord-Holland;354374;0.6,
000437;Ouder-Amstel;Noord-Holland;695766;1.2,
000439;Purmerend;Noord-Holland;955947;1,
000441;Schagen;Noord-Holland;455454;1,
000448;Texel;Noord-Holland;347474;1.9,
000450;Uitgeest;Noord-Holland;573476;0.6,
000451;Uithoorn;Noord-Holland;775765;1.3,
000453;Velsen;Noord-Holland;865647;2,
000457;Weesp;Noord-Holland;776946;1.1,
000458;Schermer;Noord-Holland;264462;0.7,
000473;Zandvoort;Noord-Holland;779637;0.4,
000476;Zijpe;Noord-Holland;256462;0.6,
000478;Zeevang;Noord-Holland;376463;0.8,
000479;Zaanstad;Noord-Holland;854937;1.5,
000482;Alblasserdam;Zuid-Holland;743656;9.2,
000484;Alphen aan den Rijn;Zuid-Holland;973758;4,
000489;Barendrecht;Zuid-Holland;782976;3.6,
000491;Bergambacht;Zuid-Holland;364473;5.9,
000498;Drechterland;Noord-Holland;354473;0.7,
000499;Boskoop;Zuid-Holland;564665;4.9,
000501;Brielle;Zuid-Holland;586564;1.2,
000502;Capelle aan den IJssel;Zuid-Holland;965927;4,
000503;Delft;Zuid-Holland;943919;2.6,
000504;Dirksland;Zuid-Holland;353375;7,
000505;Dordrecht;Zuid-Holland;954918;4.5,
000511;Goedereede;Zuid-Holland;365374;7.1,
000512;Gorinchem;Zuid-Holland;854947;5,
000513;Gouda;Zuid-Holland;964939;5.4,
000518;'s-Gravenhage;Zuid-Holland;953919;1.4,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;17.1,
000530;Hellevoetsluis;Zuid-Holland;775646;1.4,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;5.8,
000532;Stede Broec;Noord-Holland;544465;1,
000534;Hillegom;Zuid-Holland;765666;1.1,
000537;Katwijk;Zuid-Holland;852567;9.9,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;6.7,
000545;Leerdam;Zuid-Holland;644945;6.9,
000546;Leiden;Zuid-Holland;963929;1.9,
000547;Leiderdorp;Zuid-Holland;985758;1.9,
000553;Lisse;Zuid-Holland;765566;2.1,
000556;Maassluis;Zuid-Holland;856926;3.5,
000559;Middelharnis;Zuid-Holland;555375;8.8,
000568;Bernisse;Zuid-Holland;377474;3.3,
000569;Nieuwkoop;Zuid-Holland;365474;2.8,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;13.7,
000575;Noordwijk;Zuid-Holland;786567;1.3,
000576;Noordwijkerhout;Zuid-Holland;565565;0.7,
000579;Oegstgeest;Zuid-Holland;895668;2.6,
000580;Oostflakkee;Zuid-Holland;355372;6.2,
000584;Oud-Beijerland;Zuid-Holland;674465;5,
000585;Binnenmaas;Zuid-Holland;476474;4.5,
000588;Korendijk;Zuid-Holland;365382;4.3,
000589;Oudewater;Utrecht;474474;4.8,
000590;Papendrecht;Zuid-Holland;865666;6.6,
000597;Ridderkerk;Zuid-Holland;857657;5.6,
000599;Rotterdam;Zuid-Holland;933919;2,
000603;Rijswijk;Zuid-Holland;978939;1.6,
000606;Schiedam;Zuid-Holland;944919;1.6,
000608;Schoonhoven;Zuid-Holland;664745;5.3,
000610;Sliedrecht;Zuid-Holland;744656;10.9,
000611;Cromstrijen;Zuid-Holland;476383;3.1,
000612;Spijkenisse;Zuid-Holland;955928;1.9,
000613;Albrandswaard;Zuid-Holland;594765;2.4,
000614;Westvoorne;Zuid-Holland;498473;1.3,
000617;Strijen;Zuid-Holland;466473;5.4,
000620;Vianen;Utrecht;564654;3.2,
000622;Vlaardingen;Zuid-Holland;956928;2.6,
000623;Vlist;Zuid-Holland;364374;5,
000626;Voorschoten;Zuid-Holland;895767;1.5,
000627;Waddinxveen;Zuid-Holland;664667;9,
000629;Wassenaar;Zuid-Holland;797865;0.8,
000632;Woerden;Utrecht;673666;5.2,
000637;Zoetermeer;Zuid-Holland;973928;2.4,
000638;Zoeterwoude;Zuid-Holland;475475;0.9,
000642;Zwijndrecht;Zuid-Holland;956847;5.9,
000643;Nederlek;Zuid-Holland;565465;4.3,
000644;Ouderkerk;Zuid-Holland;454474;9.7,
000653;Gaasterlân-Sleat;Friesland;326362;3,
000654;Borsele;Zeeland;344474;3,
000664;Goes;Zeeland;656646;4.5,
000668;West Maas en Waal;Gelderland;355364;0.5,
000677;Hulst;Zeeland;348562;0.7,
000678;Kapelle;Zeeland;453385;5.8,
000687;Middelburg;Zeeland;845637;6.1,
000689;Giessenlanden;Zuid-Holland;374373;10.2,
000693;Graafstroom;Zuid-Holland;251382;15.7,
000694;Liesveld;Zuid-Holland;352384;14.6,
000703;Reimerswaal;Zeeland;331574;4.8,
000707;Zederik;Zuid-Holland;343373;12.3,
000715;Terneuzen;Zeeland;447645;5,
000716;Tholen;Zeeland;333463;6,
000717;Veere;Zeeland;356474;5,
000718;Vlissingen;Zeeland;846817;2.9,
000733;Lingewaal;Gelderland;364474;7.4,
000736;De Ronde Venen;Utrecht;585574;2.9,
000737;Tytsjerksteradiel;Friesland;335343;6.3,
000738;Aalburg;Noord-Brabant;342373;11.2,
000743;Asten;Noord-Brabant;545464;0.3,
000744;Baarle-Nassau;Noord-Brabant;348571;0.7,
000748;Bergen op Zoom;Noord-Brabant;756937;0.8,
000753;Best;Noord-Brabant;674555;1.6,
000755;Boekel;Noord-Brabant;343373;0.3,
000756;Boxmeer;Noord-Brabant;455465;0.4,
000757;Boxtel;Noord-Brabant;654655;0.6,
000758;Breda;Noord-Brabant;963838;0.6,
000762;Deurne;Noord-Brabant;545454;0.3,
000765;Pekela;Groningen;416414;2.9,
000766;Dongen;Noord-Brabant;655565;1.1,
000770;Eersel;Noord-Brabant;466474;0.4,
000772;Eindhoven;Noord-Brabant;954929;1.2,
000777;Etten-Leur;Noord-Brabant;754656;0.7,
000779;Geertruidenberg;Noord-Brabant;555455;0.7,
000784;Gilze en Rijen;Noord-Brabant;555654;0.4,
000785;Goirle;Noord-Brabant;676466;0.4,
000786;Grave;Noord-Brabant;455565;0.6,
000788;Haaren;Noord-Brabant;365374;0.5,
000794;Helmond;Noord-Brabant;743817;0.5,
000796;'s-Hertogenbosch;Noord-Brabant;964728;0.6,
000797;Heusden;Noord-Brabant;555555;0.8,
000798;Hilvarenbeek;Noord-Brabant;465374;0.4,
000809;Loon op Zand;Noord-Brabant;556465;0.6,
000815;Mill en Sint Hubert;Noord-Brabant;335363;0.3,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;0.6
000823;Oirschot;Noord-Brabant;465373;0.3,
000824;Oisterwijk;Noord-Brabant;576466;0.6,
000826;Oosterhout;Noord-Brabant;766747;0.7,
