id;title;provincie;dna;50Plus,
id;title;provincie;dna;2012-0,
000504;Dirksland;Zuid-Holland;353375;1.5,
000505;Dordrecht;Zuid-Holland;954918;2.2,
000511;Goedereede;Zuid-Holland;365374;1.3,
000512;Gorinchem;Zuid-Holland;854947;1.8,
000513;Gouda;Zuid-Holland;964939;1.9,
000518;'s-Gravenhage;Zuid-Holland;953919;1.7,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;1.2,
000530;Hellevoetsluis;Zuid-Holland;775646;2.7,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;1.7,
000532;Stede Broec;Noord-Holland;544465;4.2,
000534;Hillegom;Zuid-Holland;765666;2.6,
000537;Katwijk;Zuid-Holland;852567;1.7,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;1.5,
000545;Leerdam;Zuid-Holland;644945;1.3,
000546;Leiden;Zuid-Holland;963929;1.4,
000547;Leiderdorp;Zuid-Holland;985758;2,
000553;Lisse;Zuid-Holland;765566;2.6,
000556;Maassluis;Zuid-Holland;856926;2.5,
000559;Middelharnis;Zuid-Holland;555375;1.6,
000568;Bernisse;Zuid-Holland;377474;2.2,
000569;Nieuwkoop;Zuid-Holland;365474;2.1,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;1,
000575;Noordwijk;Zuid-Holland;786567;2.5,
000576;Noordwijkerhout;Zuid-Holland;565565;2.8,
000579;Oegstgeest;Zuid-Holland;895668;1.4,
000580;Oostflakkee;Zuid-Holland;355372;2.1,
000584;Oud-Beijerland;Zuid-Holland;674465;1.7,
000585;Binnenmaas;Zuid-Holland;476474;1.5,
000588;Korendijk;Zuid-Holland;365382;1.5,
000589;Oudewater;Utrecht;474474;1.6,
000590;Papendrecht;Zuid-Holland;865666;2.4,
000597;Ridderkerk;Zuid-Holland;857657;2.5,
000599;Rotterdam;Zuid-Holland;933919;2,
000603;Rijswijk;Zuid-Holland;978939;3.2,
000606;Schiedam;Zuid-Holland;944919;2.7,
000608;Schoonhoven;Zuid-Holland;664745;2.2,
000610;Sliedrecht;Zuid-Holland;744656;1.9,
000611;Cromstrijen;Zuid-Holland;476383;1.8,
000612;Spijkenisse;Zuid-Holland;955928;3,
000613;Albrandswaard;Zuid-Holland;594765;2,
000614;Westvoorne;Zuid-Holland;498473;2,
000617;Strijen;Zuid-Holland;466473;1.9,
000620;Vianen;Utrecht;564654;2.3,
000622;Vlaardingen;Zuid-Holland;956928;2.6,
000623;Vlist;Zuid-Holland;364374;0.8,
000626;Voorschoten;Zuid-Holland;895767;1.6,
