id;title;provincie;dna;GroenLinks,
id;title;provincie;dna;2012-0,
000491;Bergambacht;Zuid-Holland;364473;0.9,
000498;Drechterland;Noord-Holland;354473;1.9,
000499;Boskoop;Zuid-Holland;564665;1.8,
000501;Brielle;Zuid-Holland;586564;1.4,
000502;Capelle aan den IJssel;Zuid-Holland;965927;1.4,
000503;Delft;Zuid-Holland;943919;4.4,
000504;Dirksland;Zuid-Holland;353375;0.7,
000505;Dordrecht;Zuid-Holland;954918;2.3,
000511;Goedereede;Zuid-Holland;365374;0.6,
000512;Gorinchem;Zuid-Holland;854947;2,
000513;Gouda;Zuid-Holland;964939;3,
000518;'s-Gravenhage;Zuid-Holland;953919;2.8,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;0.6,
000530;Hellevoetsluis;Zuid-Holland;775646;1.3,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;1,
000532;Stede Broec;Noord-Holland;544465;1.4,
000534;Hillegom;Zuid-Holland;765666;1.9,
000537;Katwijk;Zuid-Holland;852567;0.8,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;1.5,
000545;Leerdam;Zuid-Holland;644945;1.2,
000546;Leiden;Zuid-Holland;963929;4.9,
000547;Leiderdorp;Zuid-Holland;985758;2.6,
000553;Lisse;Zuid-Holland;765566;1.4,
000556;Maassluis;Zuid-Holland;856926;1.2,
000559;Middelharnis;Zuid-Holland;555375;1,
000568;Bernisse;Zuid-Holland;377474;1.3,
000569;Nieuwkoop;Zuid-Holland;365474;1.4,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;0.7,
000575;Noordwijk;Zuid-Holland;786567;1.9,
000576;Noordwijkerhout;Zuid-Holland;565565;2,
000579;Oegstgeest;Zuid-Holland;895668;3.1,
000580;Oostflakkee;Zuid-Holland;355372;1.2,
000584;Oud-Beijerland;Zuid-Holland;674465;1.5,
000585;Binnenmaas;Zuid-Holland;476474;1.2,
000588;Korendijk;Zuid-Holland;365382;1.3,
000589;Oudewater;Utrecht;474474;1.2,
000590;Papendrecht;Zuid-Holland;865666;1.3,
000597;Ridderkerk;Zuid-Holland;857657;1,
000599;Rotterdam;Zuid-Holland;933919;2.7,
000603;Rijswijk;Zuid-Holland;978939;2.2,
000606;Schiedam;Zuid-Holland;944919;1.8,
000608;Schoonhoven;Zuid-Holland;664745;1.7,
000610;Sliedrecht;Zuid-Holland;744656;0.9,
000611;Cromstrijen;Zuid-Holland;476383;1.1,
000612;Spijkenisse;Zuid-Holland;955928;1.1,
000613;Albrandswaard;Zuid-Holland;594765;1.3,
000614;Westvoorne;Zuid-Holland;498473;1.1,
000617;Strijen;Zuid-Holland;466473;1.3,
000620;Vianen;Utrecht;564654;1.8,
000622;Vlaardingen;Zuid-Holland;956928;1.9,
000623;Vlist;Zuid-Holland;364374;1.4,
