id;title;provincie;dna;SGP,
id;title;provincie;dna;2012-0,
000365;Graft-De Rijp;Noord-Holland;375473;0.1,
000370;Beemster;Noord-Holland;485474;0.2,
000373;Bergen (NH.);Noord-Holland;489465;0.1,
000375;Beverwijk;Noord-Holland;954838;0.2,
000376;Blaricum;Noord-Holland;598666;0.4,
000377;Bloemendaal;Noord-Holland;597578;0.2,
000381;Bussum;Noord-Holland;995759;0.4,
000383;Castricum;Noord-Holland;686465;0.1,
000384;Diemen;Noord-Holland;963947;0.1,
000385;Edam-Volendam;Noord-Holland;763476;0.2,
000388;Enkhuizen;Noord-Holland;645545;1.4,
000392;Haarlem;Noord-Holland;974949;0.2,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;0.3,
000394;Haarlemmermeer;Noord-Holland;782866;0.8,
000395;Harenkarspel;Noord-Holland;353473;0.1,
000396;Heemskerk;Noord-Holland;965737;0.2,
000397;Heemstede;Noord-Holland;797568;0.2,
000398;Heerhugowaard;Noord-Holland;753756;0.2,
000399;Heiloo;Noord-Holland;697566;0.2,
000400;Den Helder;Noord-Holland;846716;0.8,
000402;Hilversum;Noord-Holland;985849;0.7,
000405;Hoorn;Noord-Holland;753847;0.2,
000406;Huizen;Noord-Holland;885757;2.6,
000415;Landsmeer;Noord-Holland;596566;0.3,
000416;Langedijk;Noord-Holland;564465;0.3,
000417;Laren;Noord-Holland;599577;0.1,
000420;Medemblik;Noord-Holland;354464;0.9,
000424;Muiden;Noord-Holland;396552;0.1,
000425;Naarden;Noord-Holland;695678;0.4,
000431;Oostzaan;Noord-Holland;585576;0.3,
000432;Opmeer;Noord-Holland;354374;0.2,
000437;Ouder-Amstel;Noord-Holland;695766;1,
000439;Purmerend;Noord-Holland;955947;0.2,
000441;Schagen;Noord-Holland;455454;0.2,
000448;Texel;Noord-Holland;347474;0.7,
000450;Uitgeest;Noord-Holland;573476;0.1,
000451;Uithoorn;Noord-Holland;775765;0.2,
000453;Velsen;Noord-Holland;865647;0.3,
000457;Weesp;Noord-Holland;776946;0.4,
000458;Schermer;Noord-Holland;264462;0.2,
000473;Zandvoort;Noord-Holland;779637;0.1,
000476;Zijpe;Noord-Holland;256462;0.3,
000478;Zeevang;Noord-Holland;376463;0.2,
000479;Zaanstad;Noord-Holland;854937;0.4,
000482;Alblasserdam;Zuid-Holland;743656;16,
000484;Alphen aan den Rijn;Zuid-Holland;973758;1.5,
000489;Barendrecht;Zuid-Holland;782976;4.6,
000491;Bergambacht;Zuid-Holland;364473;13.3,
000498;Drechterland;Noord-Holland;354473;0.1,
000499;Boskoop;Zuid-Holland;564665;3.9,
000501;Brielle;Zuid-Holland;586564;0.4,
000502;Capelle aan den IJssel;Zuid-Holland;965927;5.6,
000503;Delft;Zuid-Holland;943919;0.6,
000504;Dirksland;Zuid-Holland;353375;22.6,
000505;Dordrecht;Zuid-Holland;954918;3.2,
000511;Goedereede;Zuid-Holland;365374;24.6,
000512;Gorinchem;Zuid-Holland;854947;2.4,
000513;Gouda;Zuid-Holland;964939;4.7,
000518;'s-Gravenhage;Zuid-Holland;953919;0.5,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;21,
000530;Hellevoetsluis;Zuid-Holland;775646;0.4,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;13.9,
000532;Stede Broec;Noord-Holland;544465;0.4,
000534;Hillegom;Zuid-Holland;765666;0.7,
000537;Katwijk;Zuid-Holland;852567;10.2,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;13.7,
000545;Leerdam;Zuid-Holland;644945;8.9,
000546;Leiden;Zuid-Holland;963929;0.4,
000547;Leiderdorp;Zuid-Holland;985758;1,
000553;Lisse;Zuid-Holland;765566;5,
000556;Maassluis;Zuid-Holland;856926;0.8,
000559;Middelharnis;Zuid-Holland;555375;17.2,
000568;Bernisse;Zuid-Holland;377474;1.2,
000569;Nieuwkoop;Zuid-Holland;365474;2,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;29.1,
000575;Noordwijk;Zuid-Holland;786567;0.4,
000576;Noordwijkerhout;Zuid-Holland;565565;0.1,
000579;Oegstgeest;Zuid-Holland;895668;0.5,
000580;Oostflakkee;Zuid-Holland;355372;8.7,
000584;Oud-Beijerland;Zuid-Holland;674465;9.2,
000585;Binnenmaas;Zuid-Holland;476474;6.3,
000588;Korendijk;Zuid-Holland;365382;18.4,
000589;Oudewater;Utrecht;474474;4.1,
000590;Papendrecht;Zuid-Holland;865666;4.8,
000597;Ridderkerk;Zuid-Holland;857657;9.3,
000599;Rotterdam;Zuid-Holland;933919;0.9,
000603;Rijswijk;Zuid-Holland;978939;0.5,
000606;Schiedam;Zuid-Holland;944919;0.5,
000608;Schoonhoven;Zuid-Holland;664745;3,
000610;Sliedrecht;Zuid-Holland;744656;16.3,
000611;Cromstrijen;Zuid-Holland;476383;6.3,
000612;Spijkenisse;Zuid-Holland;955928;0.6,
000613;Albrandswaard;Zuid-Holland;594765;1.4,
000614;Westvoorne;Zuid-Holland;498473;0.4,
000617;Strijen;Zuid-Holland;466473;3.7,
000620;Vianen;Utrecht;564654;2.9,
000622;Vlaardingen;Zuid-Holland;956928;1.6,
000623;Vlist;Zuid-Holland;364374;11.2,
000626;Voorschoten;Zuid-Holland;895767;0.4,
000627;Waddinxveen;Zuid-Holland;664667;8.2,
000629;Wassenaar;Zuid-Holland;797865;0.3,
000632;Woerden;Utrecht;673666;3.6,
000637;Zoetermeer;Zuid-Holland;973928;1.1,
000638;Zoeterwoude;Zuid-Holland;475475;0.9,
000642;Zwijndrecht;Zuid-Holland;956847;4.7,
000643;Nederlek;Zuid-Holland;565465;6.4,
000644;Ouderkerk;Zuid-Holland;454474;16.2,
000653;Gaasterlân-Sleat;Friesland;326362;2.6,
000654;Borsele;Zeeland;344474;15.9,
000664;Goes;Zeeland;656646;6.8,
000668;West Maas en Waal;Gelderland;355364;0.1,
000677;Hulst;Zeeland;348562;0.2,
000678;Kapelle;Zeeland;453385;13.2,
000687;Middelburg;Zeeland;845637;8.5,
000689;Giessenlanden;Zuid-Holland;374373;6.4,
000693;Graafstroom;Zuid-Holland;251382;20.8,
000694;Liesveld;Zuid-Holland;352384;14.9,
000703;Reimerswaal;Zeeland;331574;33.5,
000707;Zederik;Zuid-Holland;343373;13.8,
000715;Terneuzen;Zeeland;447645;4.4,
