id;title;provincie;dna;VVD,
id;title;provincie;dna;2012-0,
000365;Graft-De Rijp;Noord-Holland;375473;39.4,
000370;Beemster;Noord-Holland;485474;44.2,
000373;Bergen (NH.);Noord-Holland;489465;35.7,
000375;Beverwijk;Noord-Holland;954838;27,
000376;Blaricum;Noord-Holland;598666;49,
000377;Bloemendaal;Noord-Holland;597578;46.3,
000381;Bussum;Noord-Holland;995759;39.7,
000383;Castricum;Noord-Holland;686465;34.6,
000384;Diemen;Noord-Holland;963947;25.8,
000385;Edam-Volendam;Noord-Holland;763476;43.3,
000388;Enkhuizen;Noord-Holland;645545;27.1,
000392;Haarlem;Noord-Holland;974949;23.3,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;38.5,
000394;Haarlemmermeer;Noord-Holland;782866;39.7,
000395;Harenkarspel;Noord-Holland;353473;38.2,
000396;Heemskerk;Noord-Holland;965737;29.1,
000397;Heemstede;Noord-Holland;797568;42.4,
000398;Heerhugowaard;Noord-Holland;753756;32.4,
000399;Heiloo;Noord-Holland;697566;35.4,
000400;Den Helder;Noord-Holland;846716;30.5,
000402;Hilversum;Noord-Holland;985849;29.1,
000405;Hoorn;Noord-Holland;753847;28.1,
000406;Huizen;Noord-Holland;885757;34.9,
000415;Landsmeer;Noord-Holland;596566;36.5,
000416;Langedijk;Noord-Holland;564465;34.6,
000417;Laren;Noord-Holland;599577;54.5,
000420;Medemblik;Noord-Holland;354464;34.6,
000424;Muiden;Noord-Holland;396552;34.9,
000425;Naarden;Noord-Holland;695678;45.7,
000431;Oostzaan;Noord-Holland;585576;35,
000432;Opmeer;Noord-Holland;354374;37,
000437;Ouder-Amstel;Noord-Holland;695766;35.6,
000439;Purmerend;Noord-Holland;955947;29.5,
000441;Schagen;Noord-Holland;455454;32.1,
000448;Texel;Noord-Holland;347474;33.1,
000450;Uitgeest;Noord-Holland;573476;36,
000451;Uithoorn;Noord-Holland;775765;40.8,
000453;Velsen;Noord-Holland;865647;28.8,
000457;Weesp;Noord-Holland;776946;28.6,
000458;Schermer;Noord-Holland;264462;39.3,
000473;Zandvoort;Noord-Holland;779637;42,
000476;Zijpe;Noord-Holland;256462;36.6,
000478;Zeevang;Noord-Holland;376463;41.9,
000479;Zaanstad;Noord-Holland;854937;24,
000482;Alblasserdam;Zuid-Holland;743656;20,
000484;Alphen aan den Rijn;Zuid-Holland;973758;32.8,
000489;Barendrecht;Zuid-Holland;782976;33.3,
000491;Bergambacht;Zuid-Holland;364473;32,
000498;Drechterland;Noord-Holland;354473;38.8,
000499;Boskoop;Zuid-Holland;564665;36.2,
000501;Brielle;Zuid-Holland;586564;35.6,
000502;Capelle aan den IJssel;Zuid-Holland;965927;26.6,
000503;Delft;Zuid-Holland;943919;21.9,
000504;Dirksland;Zuid-Holland;353375;23,
000505;Dordrecht;Zuid-Holland;954918;22.8,
000511;Goedereede;Zuid-Holland;365374;27.2,
000512;Gorinchem;Zuid-Holland;854947;26,
000513;Gouda;Zuid-Holland;964939;22,
000518;'s-Gravenhage;Zuid-Holland;953919;25.4,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;20.2,
000530;Hellevoetsluis;Zuid-Holland;775646;32.1,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;29.4,
000532;Stede Broec;Noord-Holland;544465;31.2,
000534;Hillegom;Zuid-Holland;765666;37.5,
000537;Katwijk;Zuid-Holland;852567;28.6,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;25.3,
000545;Leerdam;Zuid-Holland;644945;25.3,
000546;Leiden;Zuid-Holland;963929;20.6,
000547;Leiderdorp;Zuid-Holland;985758;32,
000553;Lisse;Zuid-Holland;765566;37.7,
000556;Maassluis;Zuid-Holland;856926;29.2,
000559;Middelharnis;Zuid-Holland;555375;24.4,
000568;Bernisse;Zuid-Holland;377474;34.8,
000569;Nieuwkoop;Zuid-Holland;365474;41,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;15,
000575;Noordwijk;Zuid-Holland;786567;43,
000576;Noordwijkerhout;Zuid-Holland;565565;41.4,
000579;Oegstgeest;Zuid-Holland;895668;36.1,
000580;Oostflakkee;Zuid-Holland;355372;25.2,
000584;Oud-Beijerland;Zuid-Holland;674465;29.6,
000585;Binnenmaas;Zuid-Holland;476474;31.1,
000588;Korendijk;Zuid-Holland;365382;27.9,
000589;Oudewater;Utrecht;474474;39.5,
000590;Papendrecht;Zuid-Holland;865666;28.9,
000597;Ridderkerk;Zuid-Holland;857657;23.7,
000599;Rotterdam;Zuid-Holland;933919;20.2,
000603;Rijswijk;Zuid-Holland;978939;28.2,
000606;Schiedam;Zuid-Holland;944919;21.9,
000608;Schoonhoven;Zuid-Holland;664745;31.6,
000610;Sliedrecht;Zuid-Holland;744656;20.3,
000611;Cromstrijen;Zuid-Holland;476383;33.2,
000612;Spijkenisse;Zuid-Holland;955928;23.7,
000613;Albrandswaard;Zuid-Holland;594765;37.3,
000614;Westvoorne;Zuid-Holland;498473;44.4,
000617;Strijen;Zuid-Holland;466473;30.4,
000620;Vianen;Utrecht;564654;30.9,
000622;Vlaardingen;Zuid-Holland;956928;23.4,
000623;Vlist;Zuid-Holland;364374;33.4,
000626;Voorschoten;Zuid-Holland;895767;37.2,
000627;Waddinxveen;Zuid-Holland;664667;29.6,
000629;Wassenaar;Zuid-Holland;797865;52.6,
000632;Woerden;Utrecht;673666;33.2,
000637;Zoetermeer;Zuid-Holland;973928;29.8,
000638;Zoeterwoude;Zuid-Holland;475475;33,
000642;Zwijndrecht;Zuid-Holland;956847;26.4,
000643;Nederlek;Zuid-Holland;565465;30.1,
000644;Ouderkerk;Zuid-Holland;454474;27.6,
000653;Gaasterlân-Sleat;Friesland;326362;25.2,
000654;Borsele;Zeeland;344474;23.4,
000664;Goes;Zeeland;656646;23.7,
000668;West Maas en Waal;Gelderland;355364;33.9,
000677;Hulst;Zeeland;348562;27.3,
000678;Kapelle;Zeeland;453385;26.2,
000687;Middelburg;Zeeland;845637;18.9,
000689;Giessenlanden;Zuid-Holland;374373;31.6,
000693;Graafstroom;Zuid-Holland;251382;22.1,
000694;Liesveld;Zuid-Holland;352384;25.9,
000703;Reimerswaal;Zeeland;331574;19,
000707;Zederik;Zuid-Holland;343373;26,
000715;Terneuzen;Zeeland;447645;22.7,
000716;Tholen;Zeeland;333463;20.3,
000717;Veere;Zeeland;356474;27.6,
000718;Vlissingen;Zeeland;846817;22.3,
