id;title;provincie;dna;D66,
id;title;provincie;dna;2012-0,
000365;Graft-De Rijp;Noord-Holland;375473;7.5,
000370;Beemster;Noord-Holland;485474;7.5,
000373;Bergen (NH.);Noord-Holland;489465;9.8,
000375;Beverwijk;Noord-Holland;954838;7,
000376;Blaricum;Noord-Holland;598666;9.2,
000377;Bloemendaal;Noord-Holland;597578;14.2,
000381;Bussum;Noord-Holland;995759;12.9,
000383;Castricum;Noord-Holland;686465;9.8,
000384;Diemen;Noord-Holland;963947;9.4,
000385;Edam-Volendam;Noord-Holland;763476;4,
000388;Enkhuizen;Noord-Holland;645545;7.2,
000392;Haarlem;Noord-Holland;974949;12.3,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;9.1,
000394;Haarlemmermeer;Noord-Holland;782866;7.6,
000395;Harenkarspel;Noord-Holland;353473;7.3,
000396;Heemskerk;Noord-Holland;965737;6.8,
000397;Heemstede;Noord-Holland;797568;12.9,
000398;Heerhugowaard;Noord-Holland;753756;7.2,
000399;Heiloo;Noord-Holland;697566;10.7,
000400;Den Helder;Noord-Holland;846716;5.3,
000402;Hilversum;Noord-Holland;985849;11.5,
000405;Hoorn;Noord-Holland;753847;7.7,
000406;Huizen;Noord-Holland;885757;8.3,
000415;Landsmeer;Noord-Holland;596566;9.2,
000416;Langedijk;Noord-Holland;564465;7.3,
000417;Laren;Noord-Holland;599577;9.7,
000420;Medemblik;Noord-Holland;354464;6.3,
000424;Muiden;Noord-Holland;396552;14.7,
000425;Naarden;Noord-Holland;695678;12.7,
000431;Oostzaan;Noord-Holland;585576;6.9,
000432;Opmeer;Noord-Holland;354374;6.9,
000437;Ouder-Amstel;Noord-Holland;695766;12.3,
000439;Purmerend;Noord-Holland;955947;6,
000441;Schagen;Noord-Holland;455454;8.1,
000448;Texel;Noord-Holland;347474;8.1,
000450;Uitgeest;Noord-Holland;573476;8.6,
000451;Uithoorn;Noord-Holland;775765;8.1,
000453;Velsen;Noord-Holland;865647;7.4,
000457;Weesp;Noord-Holland;776946;10.1,
000458;Schermer;Noord-Holland;264462;7.6,
000473;Zandvoort;Noord-Holland;779637;7.2,
000476;Zijpe;Noord-Holland;256462;6.9,
000478;Zeevang;Noord-Holland;376463;7.3,
000479;Zaanstad;Noord-Holland;854937;6.5,
000482;Alblasserdam;Zuid-Holland;743656;3.8,
000484;Alphen aan den Rijn;Zuid-Holland;973758;8.7,
000489;Barendrecht;Zuid-Holland;782976;6.4,
000491;Bergambacht;Zuid-Holland;364473;5.1,
000498;Drechterland;Noord-Holland;354473;6.8,
000499;Boskoop;Zuid-Holland;564665;7.3,
000501;Brielle;Zuid-Holland;586564;6.5,
000502;Capelle aan den IJssel;Zuid-Holland;965927;6.5,
000503;Delft;Zuid-Holland;943919;15.3,
000504;Dirksland;Zuid-Holland;353375;2.3,
000505;Dordrecht;Zuid-Holland;954918;6.7,
000511;Goedereede;Zuid-Holland;365374;2.9,
000512;Gorinchem;Zuid-Holland;854947;7.1,
000513;Gouda;Zuid-Holland;964939;8.8,
000518;'s-Gravenhage;Zuid-Holland;953919;10.4,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;2.4,
000530;Hellevoetsluis;Zuid-Holland;775646;5.1,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;4.4,
000532;Stede Broec;Noord-Holland;544465;6,
000534;Hillegom;Zuid-Holland;765666;8,
000537;Katwijk;Zuid-Holland;852567;3.9,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;5.6,
000545;Leerdam;Zuid-Holland;644945;4.1,
000546;Leiden;Zuid-Holland;963929;15.3,
000547;Leiderdorp;Zuid-Holland;985758;10.9,
000553;Lisse;Zuid-Holland;765566;7.5,
000556;Maassluis;Zuid-Holland;856926;5.8,
000559;Middelharnis;Zuid-Holland;555375;3.7,
000568;Bernisse;Zuid-Holland;377474;5,
000569;Nieuwkoop;Zuid-Holland;365474;6.7,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;2.2,
000575;Noordwijk;Zuid-Holland;786567;7.4,
000576;Noordwijkerhout;Zuid-Holland;565565;7.3,
000579;Oegstgeest;Zuid-Holland;895668;15.6,
000580;Oostflakkee;Zuid-Holland;355372;3.6,
000584;Oud-Beijerland;Zuid-Holland;674465;6.5,
000585;Binnenmaas;Zuid-Holland;476474;5.2,
000588;Korendijk;Zuid-Holland;365382;4.5,
000589;Oudewater;Utrecht;474474;6.2,
000590;Papendrecht;Zuid-Holland;865666;5.3,
000597;Ridderkerk;Zuid-Holland;857657;4.3,
000599;Rotterdam;Zuid-Holland;933919;8.4,
