id;title;provincie;dna;CDA,
id;title;provincie;dna;2012-0,
000365;Graft-De Rijp;Noord-Holland;375473;9.1,
000370;Beemster;Noord-Holland;485474;8,
000373;Bergen (NH.);Noord-Holland;489465;7.5,
000375;Beverwijk;Noord-Holland;954838;5.8,
000376;Blaricum;Noord-Holland;598666;6.5,
000377;Bloemendaal;Noord-Holland;597578;7.6,
000381;Bussum;Noord-Holland;995759;6,
000383;Castricum;Noord-Holland;686465;8.9,
000384;Diemen;Noord-Holland;963947;3.8,
000385;Edam-Volendam;Noord-Holland;763476;14.1,
000388;Enkhuizen;Noord-Holland;645545;6.5,
000392;Haarlem;Noord-Holland;974949;4.6,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;8.6,
000394;Haarlemmermeer;Noord-Holland;782866;6.3,
000395;Harenkarspel;Noord-Holland;353473;11,
000396;Heemskerk;Noord-Holland;965737;8,
000397;Heemstede;Noord-Holland;797568;7.6,
000398;Heerhugowaard;Noord-Holland;753756;6.9,
000399;Heiloo;Noord-Holland;697566;8.7,
000400;Den Helder;Noord-Holland;846716;6.6,
000402;Hilversum;Noord-Holland;985849;5.8,
000405;Hoorn;Noord-Holland;753847;5.7,
000406;Huizen;Noord-Holland;885757;8.8,
000415;Landsmeer;Noord-Holland;596566;3.8,
000416;Langedijk;Noord-Holland;564465;9.6,
000417;Laren;Noord-Holland;599577;6.8,
000420;Medemblik;Noord-Holland;354464;11.1,
000424;Muiden;Noord-Holland;396552;7.3,
000425;Naarden;Noord-Holland;695678;6.2,
000431;Oostzaan;Noord-Holland;585576;3.7,
000432;Opmeer;Noord-Holland;354374;13.6,
000437;Ouder-Amstel;Noord-Holland;695766;6.7,
000439;Purmerend;Noord-Holland;955947;4.4,
000441;Schagen;Noord-Holland;455454;6.8,
000448;Texel;Noord-Holland;347474;9.3,
000450;Uitgeest;Noord-Holland;573476;6.9,
000451;Uithoorn;Noord-Holland;775765;6.2,
000453;Velsen;Noord-Holland;865647;5.8,
000457;Weesp;Noord-Holland;776946;5.8,
000458;Schermer;Noord-Holland;264462;9.9,
000473;Zandvoort;Noord-Holland;779637;4.3,
000476;Zijpe;Noord-Holland;256462;8.6,
000478;Zeevang;Noord-Holland;376463;4.7,
000479;Zaanstad;Noord-Holland;854937;5,
000482;Alblasserdam;Zuid-Holland;743656;8.4,
000484;Alphen aan den Rijn;Zuid-Holland;973758;7.8,
000489;Barendrecht;Zuid-Holland;782976;7.7,
000491;Bergambacht;Zuid-Holland;364473;8.4,
000498;Drechterland;Noord-Holland;354473;10.2,
000499;Boskoop;Zuid-Holland;564665;10.8,
000501;Brielle;Zuid-Holland;586564;6.4,
000502;Capelle aan den IJssel;Zuid-Holland;965927;5.1,
000503;Delft;Zuid-Holland;943919;5.5,
000504;Dirksland;Zuid-Holland;353375;8.5,
000505;Dordrecht;Zuid-Holland;954918;6.2,
000511;Goedereede;Zuid-Holland;365374;8.9,
000512;Gorinchem;Zuid-Holland;854947;6.3,
000513;Gouda;Zuid-Holland;964939;6.5,
000518;'s-Gravenhage;Zuid-Holland;953919;4.3,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;9.6,
000530;Hellevoetsluis;Zuid-Holland;775646;3.7,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;7.7,
000532;Stede Broec;Noord-Holland;544465;9.1,
000534;Hillegom;Zuid-Holland;765666;8,
000537;Katwijk;Zuid-Holland;852567;15,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;6.8,
000545;Leerdam;Zuid-Holland;644945;9.1,
000546;Leiden;Zuid-Holland;963929;4,
000547;Leiderdorp;Zuid-Holland;985758;7.2,
000553;Lisse;Zuid-Holland;765566;10.3,
000556;Maassluis;Zuid-Holland;856926;9.3,
000559;Middelharnis;Zuid-Holland;555375;7.6,
000568;Bernisse;Zuid-Holland;377474;9.5,
000569;Nieuwkoop;Zuid-Holland;365474;12.2,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;8,
000575;Noordwijk;Zuid-Holland;786567;7.5,
000576;Noordwijkerhout;Zuid-Holland;565565;10.5,
000579;Oegstgeest;Zuid-Holland;895668;7.1,
000580;Oostflakkee;Zuid-Holland;355372;8,
000584;Oud-Beijerland;Zuid-Holland;674465;7.4,
000585;Binnenmaas;Zuid-Holland;476474;9.2,
000588;Korendijk;Zuid-Holland;365382;8.2,
000589;Oudewater;Utrecht;474474;14.3,
000590;Papendrecht;Zuid-Holland;865666;8.2,
000597;Ridderkerk;Zuid-Holland;857657;7.7,
000599;Rotterdam;Zuid-Holland;933919;4.4,
000603;Rijswijk;Zuid-Holland;978939;6.6,
000606;Schiedam;Zuid-Holland;944919;5.8,
000608;Schoonhoven;Zuid-Holland;664745;9.6,
000610;Sliedrecht;Zuid-Holland;744656;8.5,
000611;Cromstrijen;Zuid-Holland;476383;8,
000612;Spijkenisse;Zuid-Holland;955928;4.1,
000613;Albrandswaard;Zuid-Holland;594765;7.3,
000614;Westvoorne;Zuid-Holland;498473;6.7,
000617;Strijen;Zuid-Holland;466473;10.2,
000620;Vianen;Utrecht;564654;8.3,
000622;Vlaardingen;Zuid-Holland;956928;6.3,
000623;Vlist;Zuid-Holland;364374;11.1,
000626;Voorschoten;Zuid-Holland;895767;8.1,
000627;Waddinxveen;Zuid-Holland;664667;9,
000629;Wassenaar;Zuid-Holland;797865;8.1,
000632;Woerden;Utrecht;673666;11.4,
000637;Zoetermeer;Zuid-Holland;973928;5.3,
000638;Zoeterwoude;Zuid-Holland;475475;11.9,
000642;Zwijndrecht;Zuid-Holland;956847;8.6,
000643;Nederlek;Zuid-Holland;565465;7,
000644;Ouderkerk;Zuid-Holland;454474;7.8,
000653;Gaasterlân-Sleat;Friesland;326362;21.4,
000654;Borsele;Zeeland;344474;11.3,
000664;Goes;Zeeland;656646;9.7,
000668;West Maas en Waal;Gelderland;355364;10.1,
000677;Hulst;Zeeland;348562;10.1,
000678;Kapelle;Zeeland;453385;12.2,
000687;Middelburg;Zeeland;845637;8.7,
000689;Giessenlanden;Zuid-Holland;374373;12.3,
000693;Graafstroom;Zuid-Holland;251382;18,
000694;Liesveld;Zuid-Holland;352384;12.8,
000703;Reimerswaal;Zeeland;331574;8.6,
000707;Zederik;Zuid-Holland;343373;16.2,
000715;Terneuzen;Zeeland;447645;9.5,
000716;Tholen;Zeeland;333463;7.9,
000717;Veere;Zeeland;356474;13.3,
000718;Vlissingen;Zeeland;846817;6.7,
000733;Lingewaal;Gelderland;364474;11.9,
000736;De Ronde Venen;Utrecht;585574;9.1,
000737;Tytsjerksteradiel;Friesland;335343;18.1,
000738;Aalburg;Noord-Brabant;342373;11.2,
000743;Asten;Noord-Brabant;545464;14.2,
000744;Baarle-Nassau;Noord-Brabant;348571;14.9,
000748;Bergen op Zoom;Noord-Brabant;756937;6.7,
000753;Best;Noord-Brabant;674555;9.3,
000755;Boekel;Noord-Brabant;343373;16,
000756;Boxmeer;Noord-Brabant;455465;12,
000757;Boxtel;Noord-Brabant;654655;9,
000758;Breda;Noord-Brabant;963838;6.5,
000762;Deurne;Noord-Brabant;545454;12.9,
000765;Pekela;Groningen;416414;6.1,
000766;Dongen;Noord-Brabant;655565;9.4,
000770;Eersel;Noord-Brabant;466474;15.2,
000772;Eindhoven;Noord-Brabant;954929;5.9,
000777;Etten-Leur;Noord-Brabant;754656;8,
000779;Geertruidenberg;Noord-Brabant;555455;8.1,
000784;Gilze en Rijen;Noord-Brabant;555654;8.7,
000785;Goirle;Noord-Brabant;676466;8.2,
000786;Grave;Noord-Brabant;455565;9.5,
000788;Haaren;Noord-Brabant;365374;14.4,
000794;Helmond;Noord-Brabant;743817;6.5,
000796;'s-Hertogenbosch;Noord-Brabant;964728;5.8,
000797;Heusden;Noord-Brabant;555555;9.9,
000798;Hilvarenbeek;Noord-Brabant;465374;13.7,
000809;Loon op Zand;Noord-Brabant;556465;9.4,
000815;Mill en Sint Hubert;Noord-Brabant;335363;14.9,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;10.4
000823;Oirschot;Noord-Brabant;465373;14.2,
000824;Oisterwijk;Noord-Brabant;576466;10.5,
000826;Oosterhout;Noord-Brabant;766747;7.1,
000828;Oss;Noord-Brabant;655747;8.4,
000840;Rucphen;Noord-Brabant;448454;8.6,
000844;Schijndel;Noord-Brabant;555465;9.6,
000845;Sint-Michielsgestel;Noord-Brabant;465374;10.9,
000846;Sint-Oedenrode;Noord-Brabant;455374;13.5,
000847;Someren;Noord-Brabant;435454;14.1,
000848;Son en Breugel;Noord-Brabant;485465;10.2,
000851;Steenbergen;Noord-Brabant;456464;7.9,
000852;Waterland;Noord-Holland;486474;10.5,
000855;Tilburg;Noord-Brabant;943918;6.2,
000856;Uden;Noord-Brabant;655646;9.8,
000858;Valkenswaard;Noord-Brabant;657556;10,
000860;Veghel;Noord-Brabant;554765;12.7,
000861;Veldhoven;Noord-Brabant;766567;9,
000865;Vught;Noord-Brabant;685566;7.2,
000866;Waalre;Noord-Brabant;496565;9.2,
000867;Waalwijk;Noord-Brabant;655656;9.2,
000870;Werkendam;Noord-Brabant;454374;13.6,
000873;Woensdrecht;Noord-Brabant;457565;9.3,
000874;Woudrichem;Noord-Brabant;354374;14.6,
000879;Zundert;Noord-Brabant;346573;12.2,
000880;Wormerland;Noord-Holland;665555;6.7,
000881;Onderbanken;Limburg;337534;8.8,
000882;Landgraaf;Limburg;638516;6.9,
000888;Beek;Limburg;558545;10.4,
000889;Beesel;Limburg;436545;10.7,
000893;Bergen (L.);Limburg;336453;12.5,
000899;Brunssum;Limburg;728617;6.8,
000907;Gennep;Limburg;446555;9.3,
000917;Heerlen;Limburg;827717;6.3,
000928;Kerkrade;Limburg;729716;6.7,
000935;Maastricht;Limburg;936819;6.8,
000938;Meerssen;Limburg;468455;10.6,
000944;Mook en Middelaar;Limburg;387464;8.3,
000946;Nederweert;Limburg;446474;14.1,
000951;Nuth;Limburg;358444;12.5,
000957;Roermond;Limburg;746917;7,
000962;Schinnen;Limburg;358445;12,
