id;title;provincie;dna;PvdD,
id;title;provincie;dna;2012-0,
000233;Ermelo;Gelderland;566456;1.6,
000236;Geldermalsen;Gelderland;463464;1.3,
000241;Groesbeek;Gelderland;457444;2.2,
000243;Harderwijk;Gelderland;653747;1.7,
000244;Hattem;Gelderland;455465;0.9,
000246;Heerde;Gelderland;446364;1.5,
000252;Heumen;Gelderland;476464;1.5,
000262;Lochem;Gelderland;468464;1.7,
000263;Maasdriel;Gelderland;354473;1.2,
000265;Millingen aan de Rijn;Gelderland;435544;1.8,
000267;Nijkerk;Gelderland;563565;1.1,
000268;Nijmegen;Gelderland;943919;2.2,
000269;Oldebroek;Gelderland;433374;0.8,
000273;Putten;Gelderland;553465;1,
000274;Renkum;Gelderland;588545;2.5,
000275;Rheden;Gelderland;658536;2.3,
000277;Rozendaal;Gelderland;598586;2,
000279;Scherpenzeel;Gelderland;552375;0.6,
000281;Tiel;Gelderland;643917;1.9,
000282;Ubbergen;Gelderland;367454;2.7,
000285;Voorst;Gelderland;456364;1.5,
000289;Wageningen;Gelderland;743847;2.3,
000293;Westervoort;Gelderland;644626;1.8,
000294;Winterswijk;Gelderland;626546;1.3,
000296;Wijchen;Gelderland;654445;1.5,
000297;Zaltbommel;Gelderland;452564;1.1,
000299;Zevenaar;Gelderland;646546;1.6,
000301;Zutphen;Gelderland;744627;3.1,
000302;Nunspeet;Gelderland;444365;0.9,
000303;Dronten;Flevoland;442643;1.4,
000304;Neerijnen;Gelderland;252373;1.4,
000307;Amersfoort;Utrecht;972949;2,
000308;Baarn;Utrecht;796657;2.2,
000310;De Bilt;Utrecht;696666;2.2,
000312;Bunnik;Utrecht;495575;1.8,
000313;Bunschoten;Utrecht;541476;0.6,
000317;Eemnes;Utrecht;584576;2.3,
000321;Houten;Utrecht;791576;1.8,
000327;Leusden;Utrecht;685576;1.7,
000331;Lopik;Utrecht;352473;1.3,
000335;Montfoort;Utrecht;473475;1.3,
000339;Renswoude;Utrecht;351374;0.8,
000340;Rhenen;Utrecht;554555;1.2,
000342;Soest;Utrecht;685757;1.9,
000344;Utrecht;Utrecht;961919;2.3,
000345;Veenendaal;Utrecht;942737;1.1,
000351;Woudenberg;Utrecht;563475;1,
000352;Wijk bij Duurstede;Utrecht;574465;1.9,
000353;IJsselstein;Utrecht;882857;1.6,
000355;Zeist;Utrecht;784847;2.4,
000356;Nieuwegein;Utrecht;865947;1.9,
000358;Aalsmeer;Noord-Holland;583685;1.7,
000361;Alkmaar;Noord-Holland;955839;2.8,
000362;Amstelveen;Noord-Holland;995968;2.4,
000363;Amsterdam;Noord-Holland;963919;3.1,
000365;Graft-De Rijp;Noord-Holland;375473;2.5,
000370;Beemster;Noord-Holland;485474;1.9,
000373;Bergen (NH.);Noord-Holland;489465;3,
000375;Beverwijk;Noord-Holland;954838;2.6,
000376;Blaricum;Noord-Holland;598666;2,
000377;Bloemendaal;Noord-Holland;597578;2.1,
000381;Bussum;Noord-Holland;995759;2.6,
000383;Castricum;Noord-Holland;686465;2.3,
000384;Diemen;Noord-Holland;963947;2.7,
000385;Edam-Volendam;Noord-Holland;763476;1.3,
000388;Enkhuizen;Noord-Holland;645545;2.5,
000392;Haarlem;Noord-Holland;974949;3.3,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;2.2,
000394;Haarlemmermeer;Noord-Holland;782866;2.2,
000395;Harenkarspel;Noord-Holland;353473;2,
000396;Heemskerk;Noord-Holland;965737;2.4,
000397;Heemstede;Noord-Holland;797568;2.4,
000398;Heerhugowaard;Noord-Holland;753756;2,
000399;Heiloo;Noord-Holland;697566;2.3,
000400;Den Helder;Noord-Holland;846716;2.4,
000402;Hilversum;Noord-Holland;985849;2.7,
000405;Hoorn;Noord-Holland;753847;2.6,
000406;Huizen;Noord-Holland;885757;2,
000415;Landsmeer;Noord-Holland;596566;2.2,
000416;Langedijk;Noord-Holland;564465;2.1,
000417;Laren;Noord-Holland;599577;1.9,
000420;Medemblik;Noord-Holland;354464;2.1,
000424;Muiden;Noord-Holland;396552;2.3,
000425;Naarden;Noord-Holland;695678;2,
000431;Oostzaan;Noord-Holland;585576;2.2,
000432;Opmeer;Noord-Holland;354374;1.4,
000437;Ouder-Amstel;Noord-Holland;695766;2.5,
000439;Purmerend;Noord-Holland;955947;2.3,
000441;Schagen;Noord-Holland;455454;2,
000448;Texel;Noord-Holland;347474;2.3,
000450;Uitgeest;Noord-Holland;573476;2.1,
000451;Uithoorn;Noord-Holland;775765;2.2,
000453;Velsen;Noord-Holland;865647;2.5,
000457;Weesp;Noord-Holland;776946;2.2,
000458;Schermer;Noord-Holland;264462;1.9,
000473;Zandvoort;Noord-Holland;779637;3.2,
000476;Zijpe;Noord-Holland;256462;2.1,
000478;Zeevang;Noord-Holland;376463;2.4,
000479;Zaanstad;Noord-Holland;854937;2.8,
000482;Alblasserdam;Zuid-Holland;743656;1.4,
000484;Alphen aan den Rijn;Zuid-Holland;973758;2,
000489;Barendrecht;Zuid-Holland;782976;2.1,
000491;Bergambacht;Zuid-Holland;364473;1.5,
000498;Drechterland;Noord-Holland;354473;1.8,
000499;Boskoop;Zuid-Holland;564665;1.8,
000501;Brielle;Zuid-Holland;586564;2.1,
000502;Capelle aan den IJssel;Zuid-Holland;965927;2.5,
000503;Delft;Zuid-Holland;943919;2.4,
000504;Dirksland;Zuid-Holland;353375;1.1,
000505;Dordrecht;Zuid-Holland;954918;2.5,
000511;Goedereede;Zuid-Holland;365374;1.3,
000512;Gorinchem;Zuid-Holland;854947;2,
000513;Gouda;Zuid-Holland;964939;2.3,
000518;'s-Gravenhage;Zuid-Holland;953919;2.8,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;0.8,
000530;Hellevoetsluis;Zuid-Holland;775646;2.4,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;1.4,
000532;Stede Broec;Noord-Holland;544465;2.1,
000534;Hillegom;Zuid-Holland;765666;2.6,
000537;Katwijk;Zuid-Holland;852567;1.4,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;1.8,
000545;Leerdam;Zuid-Holland;644945;1.4,
000546;Leiden;Zuid-Holland;963929;2.9,
000547;Leiderdorp;Zuid-Holland;985758;2.1,
000553;Lisse;Zuid-Holland;765566;1.6,
000556;Maassluis;Zuid-Holland;856926;2.1,
000559;Middelharnis;Zuid-Holland;555375;1.4,
000568;Bernisse;Zuid-Holland;377474;1.7,
000569;Nieuwkoop;Zuid-Holland;365474;1.5,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;1.1,
000575;Noordwijk;Zuid-Holland;786567;1.9,
000576;Noordwijkerhout;Zuid-Holland;565565;1.8,
000579;Oegstgeest;Zuid-Holland;895668;2.1,
000580;Oostflakkee;Zuid-Holland;355372;1.8,
000584;Oud-Beijerland;Zuid-Holland;674465;1.7,
000585;Binnenmaas;Zuid-Holland;476474;2,
000588;Korendijk;Zuid-Holland;365382;1.6,
000589;Oudewater;Utrecht;474474;1.3,
000590;Papendrecht;Zuid-Holland;865666;1.8,
000597;Ridderkerk;Zuid-Holland;857657;2.2,
000599;Rotterdam;Zuid-Holland;933919;2.6,
000603;Rijswijk;Zuid-Holland;978939;2.6,
000606;Schiedam;Zuid-Holland;944919;2.5,
000608;Schoonhoven;Zuid-Holland;664745;2.2,
000610;Sliedrecht;Zuid-Holland;744656;1.4,
000611;Cromstrijen;Zuid-Holland;476383;2.1,
000612;Spijkenisse;Zuid-Holland;955928;2.6,
000613;Albrandswaard;Zuid-Holland;594765;2.2,
