id;title;provincie;dna;PvdA,
id;title;provincie;dna;2012-0,
000365;Graft-De Rijp;Noord-Holland;375473;20.5,
000370;Beemster;Noord-Holland;485474;19.7,
000373;Bergen (NH.);Noord-Holland;489465;22.1,
000375;Beverwijk;Noord-Holland;954838;26.8,
000376;Blaricum;Noord-Holland;598666;16.6,
000377;Bloemendaal;Noord-Holland;597578;16.3,
000381;Bussum;Noord-Holland;995759;20.1,
000383;Castricum;Noord-Holland;686465;23.4,
000384;Diemen;Noord-Holland;963947;30.5,
000385;Edam-Volendam;Noord-Holland;763476;11.2,
000388;Enkhuizen;Noord-Holland;645545;26.8,
000392;Haarlem;Noord-Holland;974949;30.4,
000393;Haarlemmerliede en Spaarnwoude;Noord-Holland;485565;18.3,
000394;Haarlemmermeer;Noord-Holland;782866;20,
000395;Harenkarspel;Noord-Holland;353473;19.6,
000396;Heemskerk;Noord-Holland;965737;25.8,
000397;Heemstede;Noord-Holland;797568;19,
000398;Heerhugowaard;Noord-Holland;753756;24.3,
000399;Heiloo;Noord-Holland;697566;23.7,
000400;Den Helder;Noord-Holland;846716;21.7,
000402;Hilversum;Noord-Holland;985849;25,
000405;Hoorn;Noord-Holland;753847;27.7,
000406;Huizen;Noord-Holland;885757;19.4,
000415;Landsmeer;Noord-Holland;596566;25,
000416;Langedijk;Noord-Holland;564465;20.9,
000417;Laren;Noord-Holland;599577;13.2,
000420;Medemblik;Noord-Holland;354464;18.7,
000424;Muiden;Noord-Holland;396552;22,
000425;Naarden;Noord-Holland;695678;18.2,
000431;Oostzaan;Noord-Holland;585576;23.8,
000432;Opmeer;Noord-Holland;354374;19,
000437;Ouder-Amstel;Noord-Holland;695766;22.6,
000439;Purmerend;Noord-Holland;955947;27,
000441;Schagen;Noord-Holland;455454;27.3,
000448;Texel;Noord-Holland;347474;23.1,
000450;Uitgeest;Noord-Holland;573476;24.2,
000451;Uithoorn;Noord-Holland;775765;19.4,
000453;Velsen;Noord-Holland;865647;26,
000457;Weesp;Noord-Holland;776946;26.8,
000458;Schermer;Noord-Holland;264462;20.5,
000473;Zandvoort;Noord-Holland;779637;19.2,
000476;Zijpe;Noord-Holland;256462;22.6,
000478;Zeevang;Noord-Holland;376463;21.4,
000479;Zaanstad;Noord-Holland;854937;30.8,
000482;Alblasserdam;Zuid-Holland;743656;21.8,
000484;Alphen aan den Rijn;Zuid-Holland;973758;21.9,
000489;Barendrecht;Zuid-Holland;782976;19.2,
000491;Bergambacht;Zuid-Holland;364473;18.2,
000498;Drechterland;Noord-Holland;354473;18.6,
000499;Boskoop;Zuid-Holland;564665;16.4,
000501;Brielle;Zuid-Holland;586564;19.7,
000502;Capelle aan den IJssel;Zuid-Holland;965927;23.3,
000503;Delft;Zuid-Holland;943919;26.7,
000504;Dirksland;Zuid-Holland;353375;14.8,
000505;Dordrecht;Zuid-Holland;954918;26.5,
000511;Goedereede;Zuid-Holland;365374;11.9,
000512;Gorinchem;Zuid-Holland;854947;27.4,
000513;Gouda;Zuid-Holland;964939;26.2,
000518;'s-Gravenhage;Zuid-Holland;953919;29.1,
000523;Hardinxveld-Giessendam;Zuid-Holland;543375;14.4,
000530;Hellevoetsluis;Zuid-Holland;775646;22.8,
000531;Hendrik-Ido-Ambacht;Zuid-Holland;862677;17.4,
000532;Stede Broec;Noord-Holland;544465;21.9,
000534;Hillegom;Zuid-Holland;765666;18.9,
000537;Katwijk;Zuid-Holland;852567;12.3,
000542;Krimpen aan den IJssel;Zuid-Holland;865556;20.2,
000545;Leerdam;Zuid-Holland;644945;23.1,
000546;Leiden;Zuid-Holland;963929;30.2,
000547;Leiderdorp;Zuid-Holland;985758;24.6,
000553;Lisse;Zuid-Holland;765566;16,
000556;Maassluis;Zuid-Holland;856926;23.8,
000559;Middelharnis;Zuid-Holland;555375;17,
000568;Bernisse;Zuid-Holland;377474;18.6,
000569;Nieuwkoop;Zuid-Holland;365474;14.3,
000571;Nieuw-Lekkerland;Zuid-Holland;431375;16,
000575;Noordwijk;Zuid-Holland;786567;17.8,
000576;Noordwijkerhout;Zuid-Holland;565565;15.5,
000579;Oegstgeest;Zuid-Holland;895668;20.8,
000580;Oostflakkee;Zuid-Holland;355372;21.4,
000584;Oud-Beijerland;Zuid-Holland;674465;19.2,
000585;Binnenmaas;Zuid-Holland;476474;20,
000588;Korendijk;Zuid-Holland;365382;15,
000589;Oudewater;Utrecht;474474;13.4,
000590;Papendrecht;Zuid-Holland;865666;21.2,
000597;Ridderkerk;Zuid-Holland;857657;21.7,
000599;Rotterdam;Zuid-Holland;933919;31.8,
000603;Rijswijk;Zuid-Holland;978939;22.8,
000606;Schiedam;Zuid-Holland;944919;29.5,
000608;Schoonhoven;Zuid-Holland;664745;20.3,
000610;Sliedrecht;Zuid-Holland;744656;19.6,
000611;Cromstrijen;Zuid-Holland;476383;20.8,
000612;Spijkenisse;Zuid-Holland;955928;26,
000613;Albrandswaard;Zuid-Holland;594765;18.4,
000614;Westvoorne;Zuid-Holland;498473;18,
000617;Strijen;Zuid-Holland;466473;19.7,
000620;Vianen;Utrecht;564654;22.3,
000622;Vlaardingen;Zuid-Holland;956928;27.1,
000623;Vlist;Zuid-Holland;364374;15.4,
000626;Voorschoten;Zuid-Holland;895767;19.7,
000627;Waddinxveen;Zuid-Holland;664667;18.2,
000629;Wassenaar;Zuid-Holland;797865;10.9,
000632;Woerden;Utrecht;673666;18.9,
000637;Zoetermeer;Zuid-Holland;973928;24.8,
000638;Zoeterwoude;Zuid-Holland;475475;20.7,
000642;Zwijndrecht;Zuid-Holland;956847;21.7,
000643;Nederlek;Zuid-Holland;565465;22.8,
000644;Ouderkerk;Zuid-Holland;454474;16.9,
000653;Gaasterlân-Sleat;Friesland;326362;22.7,
000654;Borsele;Zeeland;344474;18.9,
000664;Goes;Zeeland;656646;25.1,
000668;West Maas en Waal;Gelderland;355364;20,
000677;Hulst;Zeeland;348562;25.9,
000678;Kapelle;Zeeland;453385;18.2,
000687;Middelburg;Zeeland;845637;26.7,
000689;Giessenlanden;Zuid-Holland;374373;18,
000693;Graafstroom;Zuid-Holland;251382;8.7,
000694;Liesveld;Zuid-Holland;352384;14.3,
000703;Reimerswaal;Zeeland;331574;13.2,
000707;Zederik;Zuid-Holland;343373;13.7,
000715;Terneuzen;Zeeland;447645;24.9,
000716;Tholen;Zeeland;333463;16.5,
000717;Veere;Zeeland;356474;18.5,
000718;Vlissingen;Zeeland;846817;28.8,
000733;Lingewaal;Gelderland;364474;19.7,
000736;De Ronde Venen;Utrecht;585574;14.8,
000737;Tytsjerksteradiel;Friesland;335343;31.9,
000738;Aalburg;Noord-Brabant;342373;8.7,
000743;Asten;Noord-Brabant;545464;16.6,
000744;Baarle-Nassau;Noord-Brabant;348571;15.4,
000748;Bergen op Zoom;Noord-Brabant;756937;24.5,
000753;Best;Noord-Brabant;674555;20.1,
000755;Boekel;Noord-Brabant;343373;14.8,
000756;Boxmeer;Noord-Brabant;455465;14.7,
000757;Boxtel;Noord-Brabant;654655;24.3,
000758;Breda;Noord-Brabant;963838;23.9,
000762;Deurne;Noord-Brabant;545454;17.6,
000765;Pekela;Groningen;416414;40.1,
000766;Dongen;Noord-Brabant;655565;23.5,
000770;Eersel;Noord-Brabant;466474;17,
000772;Eindhoven;Noord-Brabant;954929;26.1,
000777;Etten-Leur;Noord-Brabant;754656;23.2,
000779;Geertruidenberg;Noord-Brabant;555455;21.9,
000784;Gilze en Rijen;Noord-Brabant;555654;23.3,
000785;Goirle;Noord-Brabant;676466;23.7,
000786;Grave;Noord-Brabant;455565;19.6,
000788;Haaren;Noord-Brabant;365374;18.4,
000794;Helmond;Noord-Brabant;743817;22.5,
000796;'s-Hertogenbosch;Noord-Brabant;964728;24.3,
000797;Heusden;Noord-Brabant;555555;18.9,
000798;Hilvarenbeek;Noord-Brabant;465374;19.7,
000809;Loon op Zand;Noord-Brabant;556465;20,
000815;Mill en Sint Hubert;Noord-Brabant;335363;15.3,
000820;Nuenen, Gerwen en Nederwetten;Noord-Brabant;587445;20.9
000823;Oirschot;Noord-Brabant;465373;16.7,
000824;Oisterwijk;Noord-Brabant;576466;19.5,
000826;Oosterhout;Noord-Brabant;766747;23.2,
000828;Oss;Noord-Brabant;655747;21.1,
000840;Rucphen;Noord-Brabant;448454;18.7,
000844;Schijndel;Noord-Brabant;555465;21.5,
000845;Sint-Michielsgestel;Noord-Brabant;465374;20.6,
000846;Sint-Oedenrode;Noord-Brabant;455374;19.5,
000847;Someren;Noord-Brabant;435454;15.4,
000848;Son en Breugel;Noord-Brabant;485465;17.2,
000851;Steenbergen;Noord-Brabant;456464;20.8,
000852;Waterland;Noord-Holland;486474;22,
000855;Tilburg;Noord-Brabant;943918;26.8,
000856;Uden;Noord-Brabant;655646;18.7,
000858;Valkenswaard;Noord-Brabant;657556;20.7,
000860;Veghel;Noord-Brabant;554765;19.2,
000861;Veldhoven;Noord-Brabant;766567;20.8,
000865;Vught;Noord-Brabant;685566;21.5,
000866;Waalre;Noord-Brabant;496565;19,
000867;Waalwijk;Noord-Brabant;655656;19.6,
000870;Werkendam;Noord-Brabant;454374;14.7,
000873;Woensdrecht;Noord-Brabant;457565;19,
000874;Woudrichem;Noord-Brabant;354374;15.1,
000879;Zundert;Noord-Brabant;346573;16.8,
000880;Wormerland;Noord-Holland;665555;27.4,
000881;Onderbanken;Limburg;337534;22,
000882;Landgraaf;Limburg;638516;24.5,
000888;Beek;Limburg;558545;21.3,
000889;Beesel;Limburg;436545;20.9,
000893;Bergen (L.);Limburg;336453;16.5,
000899;Brunssum;Limburg;728617;24.3,
000907;Gennep;Limburg;446555;19.5,
000917;Heerlen;Limburg;827717;24.6,
000928;Kerkrade;Limburg;729716;25.7,
000935;Maastricht;Limburg;936819;27.7,
000938;Meerssen;Limburg;468455;22.3,
000944;Mook en Middelaar;Limburg;387464;22.6,
000946;Nederweert;Limburg;446474;17.2,
000951;Nuth;Limburg;358444;20.6,
000957;Roermond;Limburg;746917;22.9,
000962;Schinnen;Limburg;358445;22.5,
000965;Simpelveld;Limburg;448455;25.3,
000971;Stein;Limburg;548455;21.5,
000981;Vaals;Limburg;529814;25.2,
000983;Venlo;Limburg;736827;20.7,
000984;Venray;Limburg;545645;19,
000986;Voerendaal;Limburg;368454;22.2,
000988;Weert;Limburg;647736;20.2,
000994;Valkenburg aan de Geul;Limburg;459436;19.6,
000995;Lelystad;Flevoland;652917;25.7,
001507;Horst aan de Maas;Limburg;445464;16.3,
001509;Oude IJsselstreek;Gelderland;436554;27.4,
001586;Oost Gelre;Gelderland;435464;22.4,
001598;Koggenland;Noord-Holland;353373;17.2,
001621;Lansingerland;Zuid-Holland;681676;16.1,
001525;Teylingen;Zuid-Holland;684576;18,
001581;Utrechtse Heuvelrug;Utrecht;497565;18.6,
001659;Laarbeek;Noord-Brabant;445365;18.6,
001663;De Marne;Groningen;227332;30.8,
001667;Reusel-De Mierden;Noord-Brabant;454471;18,
001669;Roerdalen;Limburg;348454;18.5,
001671;Maasdonk;Noord-Brabant;344374;15.3,
001672;Rijnwoude;Zuid-Holland;464475;16.1,
001674;Roosendaal;Noord-Brabant;756837;23.6,
001640;Leudal;Limburg;356463;16.5,
001641;Maasgouw;Limburg;358454;18.3,
001651;Eemsmond;Groningen;326312;33.3,
001652;Gemert-Bakel;Noord-Brabant;444454;17.1,
001655;Halderberge;Noord-Brabant;456654;20.1,
001658;Heeze-Leende;Noord-Brabant;487465;16.8,
001676;Schouwen-Duiveland;Zeeland;358464;19.3,
001680;Aa en Hunze;Drenthe;357353;37.1,
001681;Borger-Odoorn;Drenthe;337343;35.1,
001684;Cuijk;Noord-Brabant;445745;21.6,
001685;Landerd;Noord-Brabant;344373;17.4,
001690;De Wolden;Drenthe;346373;23.3,
001695;Noord-Beveland;Zeeland;258463;20.5,
001696;Wijdemeren;Noord-Holland;497574;16.9,
001699;Noordenveld;Drenthe;457343;33.8,
001700;Twenterand;Overijssel;423354;18.9,
001701;Westerveld;Drenthe;258351;29.8,
001702;Sint Anthonis;Noord-Brabant;345383;12.6,
001705;Lingewaard;Gelderland;554465;24.7,
001706;Cranendonck;Noord-Brabant;456564;17.9,
001708;Steenwijkerland;Overijssel;435443;25.3,
001709;Moerdijk;Noord-Brabant;465463;19.9,
001711;Echt-Susteren;Limburg;448544;18.8,
001714;Sluis;Zeeland;349564;23.5,
001719;Drimmelen;Noord-Brabant;466374;20.3,
001721;Bernheze;Noord-Brabant;454365;17.2,
001722;Ferwerderadiel;Friesland;224343;27.2,
001723;Alphen-Chaam;Noord-Brabant;366473;15.8,
001724;Bergeijk;Noord-Brabant;355463;15.7,
001728;Bladel;Noord-Brabant;455474;17.3,
001729;Gulpen-Wittem;Limburg;349464;21.5,
001730;Tynaarlo;Drenthe;366364;32.4,
001731;Midden-Drenthe;Drenthe;346353;31.6,
001734;Overbetuwe;Gelderland;453464;22.6,
001735;Hof van Twente;Overijssel;446464;23.4,
001740;Neder-Betuwe;Gelderland;331364;17.8,
001742;Rijssen-Holten;Overijssel;532465;13.1,
001771;Geldrop-Mierlo;Noord-Brabant;665546;21.8,
001773;Olst-Wijhe;Overijssel;345463;29.3,
001774;Dinkelland;Overijssel;334373;15.8,
001783;Westland;Zuid-Holland;654565;12.1,
001842;Midden-Delfland;Zuid-Holland;673477;15.1,
001859;Berkelland;Gelderland;436363;27.6,
001876;Bronckhorst;Gelderland;347373;24.8,
001883;Sittard-Geleen;Limburg;647616;23.5,
001884;Kaag en Braassem;Zuid-Holland;464474;15.8,
001891;Dantumadiel;Friesland;315324;27.8,
001892;Zuidplas;Zuid-Holland;673665;17.3,
001894;Peel en Maas;Limburg;445463;16,
001895;Oldambt;Groningen;527415;40.1,
001896;Zwartewaterland;Overijssel;431364;14.8,
001900;Súdwest-Fryslân;Friesland;535424;28.9,
001901;Bodegraven-Reeuwijk;Zuid-Holland;574575;13.7,
